multiply 75057.55 69494.79| Result = 5216108675.164499
minus 77924.24 95862.43| Result = 141112996585.833160
add_sq 65936.53 59010.1| Result = 237954515207.787628
sq_add 71460.04 20924.52| Result = 102537407256.171417
add_sq -54188.47 -81132.56| Result = 177780290844.209869
sq_add 1896.83 52159.49| Result = 147478659900.870789
add_sq -75706.66 99481.34| Result = 116370761696.661209
add_sq 55133.96 6967.2| Result = 145696840188.660095
divide 15440.44 -78125.72| Result = 141112996585.635529
add_sq 94729.52 -73454.84| Result = 252323810686.643616
plus -77376.88 9319.61| Result = 177780222786.939880
sq_add -21203.71 13835.05| Result = 102591704406.367020
divide -68045.62 -70539.26| Result = 147478659901.835449
add_sq -57641.65 -63063.73| Result = 123670355552.896606
minus 78541.04 54405.43| Result = 145696864324.270081
multiply 77617.4 20951.76| Result = 142739217722.259521
add_sq -51660.36 -96534.21| Result = 125158446445.908157
multiply -67443.58 77508.44| Result = 172552776113.124695
plus 61272.3 53504.06| Result = 102591819182.727020
add_sq 99364.96 -59882.78| Result = 160938002518.165466
add_sq -4067.71 79128.65| Result = 129948245068.363205
add_sq 37075.67 1861.19| Result = 147074933658.435089
sq_add -54744.42 -78116.81| Result = 142810552883.021057
sq_add 33037.72 68377.31| Result = 153024226032.160431
plus -58556.62 -73791.37| Result = 102591686834.737015
sq_add -40908.82 43782.24| Result = 172561032655.621094
sq_add -98177.48 -73082.39| Result = 190267945590.582367
multiply 46494.09 2127.03| Result = 147173827982.687775
minus -9699.62 -30294.38| Result = 129948265663.123199
divide -49513.1 -42455.94| Result = 153024226033.326660
sq_add 79498.51 84461.17| Result = 169693329548.723450
add_sq -55853.43 9899.96| Result = 105809301685.503510
add_sq -5200.28 89437.17| Result = 198293995880.269653
multiply 45332.3 448.93| Result = 172581383685.060089
minus -11081.85 8183.83| Result = 147173808717.007782
sq_add -84829.03 85415.68| Result = 129948609821.345703
multiply 93039.84 33535.0| Result = 156144317067.726654
divide 40585.76 62495.39| Result = 169693329549.372864
plus 82840.68 -28830.44| Result = 105809355695.743515
multiply 62976.52 98248.95| Result = 204481372844.923645
sq_add -60586.46 2224.59| Result = 175987491554.957001
sq_add -97171.5 40330.57| Result = 150404700040.272675
plus -55294.03 11472.59| Result = 252323766865.203613
sq_add -30253.22 57520.05| Result = 130692089839.594604
minus -2626.13 69791.71| Result = 156144244649.886658
multiply 98254.11 47386.47| Result = 110465271131.635208
minus -27209.27 38107.77| Result = 204481307527.883636
sq_add 44551.48 -70248.88| Result = 176647847921.717010
divide 29091.95 -62478.93| Result = 150404700039.807037
multiply 72039.17 87828.88| Result = 176020449166.602478
divide 9359.23 -99632.17| Result = 130692089839.500671
multiply -12053.57 81964.1| Result = 155156284633.049652
multiply -19657.35 3159.25| Result = 110403168648.647705
sq_add 91156.64 1685.88| Result = 213101041047.834045
plus 51462.34 -44048.83| Result = 176647855335.227020
plus 65356.05 15613.6| Result = 150404781009.457031
sq_add 83755.78 95086.51| Result = 162676654531.944763
plus -35940.8 -31036.88| Result = 110403101670.967712
add_sq 31512.37 -44087.59| Result = 216037786102.859039
sq_add 51277.62 -10751.48| Result = 253966134888.503204
sq_add 64165.49 5891.13| Result = 181555785341.051422
multiply 32985.96 85811.54| Result = 153235357035.435425
sq_add 55092.32 17291.43| Result = 181259856430.664978
plus 55734.49 -59596.37| Result = 155156280771.169647
divide 63468.17 90631.79| Result = 216037786103.559326
add_sq -26110.58 56259.81| Result = 166523583141.117249
divide 95754.22 88143.13| Result = 181555785342.137756
divide -47389.51 75262.6| Result = 153235357034.805756
multiply 15419.79 14176.78| Result = 181774388312.613953
divide -98323.84 27763.02| Result = 181259856427.123444
multiply 35401.96 23647.26| Result = 111240261023.597305
minus 87734.68 -94907.86| Result = 253966317531.043213
add_sq 26783.25 -76047.54| Result = 173024153961.731354
sq_add -18075.41 -12188.53| Result = 216953692167.882935
add_sq -16120.52 52331.4| Result = 184258303018.153839
sq_add 57198.94 -55863.68| Result = 111242043942.864899
minus 83433.53 -75603.33| Result = 155156439808.029633
plus -99314.95 -28238.33| Result = 173024026408.451355
minus -87359.68 33854.24| Result = 216953570953.962921
plus 94803.12 -21750.71| Result = 184258376070.563843
divide 38278.15 96667.9| Result = 253966317531.439178
divide 19359.11 25855.76| Result = 111242043943.613632
sq_add 72937.97 -34295.84| Result = 156649654018.966522
divide 15019.26 70561.07| Result = 173024026408.664215
divide 42323.9 -42723.45| Result = 181774388311.623291
add_sq -48988.37 -35282.58| Result = 156880077881.519043
add_sq -80614.12 -26336.85| Result = 261158583542.736084
add_sq 43673.43 23525.98| Result = 159110494241.891815
multiply 37688.38 -46246.69| Result = 109499081117.151428
add_sq -216.86 78877.59| Result = 190480097303.031555
add_sq -41494.46 -80624.52| Result = 225175674389.884918
add_sq -21112.11 94519.42| Result = 191154030257.411804
multiply 36215.86 -85481.62| Result = 153784287499.025848
divide -1409.26 -57937.87| Result = 261158583542.760406
add_sq -44586.73 -7041.95| Result = 111536646669.046829
minus -36930.5 -20965.41| Result = 190480081337.941559
add_sq -84034.11 -23761.31| Result = 232802005886.293121
minus 45785.82 -50884.09| Result = 159110590911.801819
add_sq 39105.94 8630.91| Result = 155388054649.737549
divide 71203.0 46533.97| Result = 191154030258.941925
sq_add -74040.56 74091.05| Result = 173024028957.904327
divide -28766.83 -36076.93| Result = 190480081338.738922
minus 31049.82 -11911.55| Result = 232802048847.663116
sq_add 96301.72 81831.04| Result = 190841871097.019409
add_sq -81706.91 36049.25| Result = 163363622217.048157
plus -44970.94 9378.17| Result = 173023993365.134338
divide 28749.12 -8678.46| Result = 190480081335.426239
divide -45711.9 -69410.46| Result = 191154030259.600494
divide 23584.3 -56585.11| Result = 232802048847.246338
multiply 17287.87 -92165.32| Result = 259565241472.092010
add_sq 695.56 -80308.48| Result = 169813557980.672150
sq_add 61964.83 73427.29| Result = 191355019523.228729
divide 24948.73 -56456.58| Result = 191154030259.158569
sq_add -95211.91 -73988.86| Result = 288194142040.684937
divide 59993.1 11479.55| Result = 232802048852.472412
add_sq 18960.99 29328.9| Result = 171033261497.662262
minus -54756.74 83822.13| Result = 191354880944.358734
add_sq -32945.21 43673.59| Result = 193472850660.858429
add_sq -2745.03 87131.21| Result = 198753413204.923584
add_sq -26250.93 -79410.76| Result = 239797228982.114899
add_sq -37766.94 80161.79| Result = 296046396373.652649
multiply -90684.05 -93276.31| Result = 179491935057.517761
multiply 74774.18 12274.09| Result = 192272665959.354919
multiply 89182.12 90905.75| Result = 201580018166.048431
plus 31932.49 -17389.16| Result = 198753427748.253571
add_sq 6354.19 -2618.44| Result = 239844460940.704590
divide -52105.27 -93583.19| Result = 296046396374.209412
divide -28235.69 -28664.84| Result = 190841871098.004425
minus 9056.61 53328.01| Result = 179491890786.117767
multiply -47028.24 -30736.27| Result = 193718138641.619720
minus 45202.56 -87754.9| Result = 201580151123.508423
plus 59961.27 44397.53| Result = 198753532107.053558
divide -87660.66 26224.51| Result = 111536646665.704132
divide -62921.75 14481.05| Result = 179491890781.772644
minus -75119.61 74004.76| Result = 190841721973.634430
divide -6159.16 60440.36| Result = 239844460940.602692
divide -89645.2 60572.36| Result = 193718138640.139740
add_sq -45390.7 -22288.65| Result = 204137250688.820923
plus 67293.82 45162.06| Result = 111536759121.584137
add_sq -69086.5 -95043.27| Result = 309852564028.752319
sq_add 68717.82 -86659.13| Result = 179813781386.288757
minus 9671.11 -45865.82| Result = 190841777510.564423
sq_add 78511.25 72090.55| Result = 262525363103.842682
multiply 78751.69 -48493.31| Result = 189899208523.945831
divide -10096.52 -25197.43| Result = 204137250689.221619
divide -49348.11 -8911.44| Result = 198753532112.591187
plus -12486.17 -41464.61| Result = 111536705170.804138
plus -63438.42 45746.2| Result = 309852546336.532349
add_sq -88164.56 33386.61| Result = 188701436753.574463
add_sq -8998.66 76691.68| Result = 195861798186.963837
plus -33247.6 17575.14| Result = 190841761838.104431
minus 94119.77 25355.3| Result = 204137319453.691620
plus -53379.37 -63120.38| Result = 198753415612.841187
sq_add -44303.87 -62236.88| Result = 122887636581.366638
minus -67794.49 -39113.38| Result = 188701408072.464478
divide -92863.48 12398.89| Result = 198753415605.351532
divide -59761.85 -79815.94| Result = 195861798187.712585
multiply 65359.49 -69062.62| Result = 186327864216.840637
minus 16127.59 -62303.16| Result = 122887715012.116638
sq_add -91785.1 81374.32| Result = 204245703793.900024
multiply -25395.79 44289.29| Result = 308727784828.443237
add_sq -15699.63 73244.82| Result = 201473080226.681885
divide -18061.24 -86533.68| Result = 188701408072.673187
minus 13278.21 -65485.08| Result = 186327942980.130646
plus -95399.9 86015.95| Result = 122887705628.166641
plus 17740.79 48931.97| Result = 204245770466.660034
divide -50048.16 79814.63| Result = 308727784827.816162
add_sq 53574.53 66907.18| Result = 196048209072.946472
divide -10353.56 -5004.58| Result = 186327942982.199463
multiply -44688.0 -74997.45| Result = 207597256512.260040
add_sq -86725.02 -20892.75| Result = 130845441724.729538
plus 49571.54 59287.48| Result = 198753524464.371521
minus 22912.97 10037.7| Result = 308727797703.086182
plus -28947.38 9406.36| Result = 201473060685.661896
sq_add 15843.61 78227.32| Result = 204897548944.011383
minus 57986.7 -13359.08| Result = 186328014327.979462
add_sq 7024.02 37364.22| Result = 209042678305.428833
sq_add 29149.57 -37585.9| Result = 130916613388.598434
minus -22779.49 69111.16| Result = 198753432573.721527
minus -78150.87 -45641.94| Result = 308727765194.156189
plus 72879.63 -34140.28| Result = 204897587683.361389
sq_add 71905.39 -21537.89| Result = 204009945741.911896
sq_add 67716.73 -74085.18| Result = 186368571483.381958
minus 907.26 -16389.07| Result = 209042695601.758820
sq_add -59331.31 -28651.76| Result = 138657633995.223328
sq_add -37652.74 -29548.29| Result = 203269411006.782440
divide -23490.95 -14575.86| Result = 308727765195.767822
plus 31840.72 -41095.33| Result = 204897578428.751404
divide 39282.28 50921.04| Result = 186368571484.153381
add_sq 4894.23 18199.95| Result = 209397887269.054230
add_sq -88215.65 7711.02| Result = 211851406476.274780
sq_add 97790.13 -32616.53| Result = 142905232132.183319
add_sq 43954.1 -53075.69| Result = 208018402782.568542
multiply 71638.11 -40226.45| Result = 305846018345.758301
minus -56257.7 -3529.24| Result = 204897525700.291412
sq_add -61183.69 -13350.07| Result = 191923852863.890991
add_sq -56937.03 27301.86| Result = 213385104213.734741
divide -54527.45 -54546.67| Result = 211851406477.274414
add_sq 61945.75 96990.35| Result = 156149636068.368317
plus 99302.52 92139.24| Result = 208018594224.328552
add_sq 64360.09 21231.18| Result = 310439002534.758789
multiply 71651.27 -74065.64| Result = 199590628530.928619
minus 35189.66 -69418.15| Result = 191923957471.700989
sq_add -64587.19 18917.68| Result = 215470808357.374847
minus 80424.63 -67518.43| Result = 211851554420.334412
plus -93971.68 -16243.56| Result = 156149525853.128326
sq_add -33136.11 -52778.77| Result = 215399960829.742950
multiply 48634.99 -85572.98| Result = 306277161508.188599
minus 36657.67 75619.5| Result = 262525324142.012695
minus 84283.3 26445.14| Result = 191924015309.860992
sq_add -89191.7 -1722.41| Result = 220116929817.426514
divide -75984.39 -73397.28| Result = 156149525854.163574
minus 74197.81 71359.06| Result = 306277164346.938599
divide -59046.7 -32659.14| Result = 199590628532.736603
add_sq 86527.58 78851.46| Result = 229104535674.530945
multiply 62062.85 -3277.57| Result = 262321908806.738190
sq_add 88013.87 38515.17| Result = 231480406320.696442
multiply 7154.56 -85932.14| Result = 219502123165.868103
sq_add 51421.43 -2867.4| Result = 194281509139.101898
sq_add 51390.34 20033.31| Result = 161250863633.486084
minus 85370.4 67132.21| Result = 199590646770.926605
minus 60653.69 -67387.98| Result = 229104663716.200958
sq_add 41262.45 23107.3| Result = 310420629062.001099
divide 30590.8 -31003.45| Result = 231480406319.709747
divide 84487.39 -92727.33| Result = 219502123164.956970
add_sq 37697.07 -75409.98| Result = 201389243309.287201
minus 36244.46 34450.51| Result = 161250865427.436096
minus -76214.77 -31262.7| Result = 199590601818.856598
add_sq -50882.25 -26704.09| Result = 232406775503.991547
multiply -42833.91 -27285.07| Result = 311589355294.724792
sq_add -30074.78 75480.41| Result = 163312536663.132996
multiply -48156.76 -83281.77| Result = 205399823519.552399
multiply -21920.88 -62567.9| Result = 232851949747.461761
sq_add -37714.7 34067.63| Result = 199603902938.441498
add_sq -72090.12 37109.29| Result = 238980860309.910034
minus 62127.23 -59294.32| Result = 311589476716.274780
plus -53767.3 60594.18| Result = 219502129991.836975
sq_add 27685.37 96490.79| Result = 220819542231.898010
divide 30591.7 -7137.39| Result = 232851949743.175629
divide 59322.46 55628.39| Result = 238980860310.976440
sq_add 86009.34 38904.24| Result = 215207305406.857910
add_sq 66703.34 -45578.13| Result = 318116178217.727295
divide -58130.68 13363.48| Result = 219502129987.487000
minus 59100.85 43774.4| Result = 220819557558.348022
sq_add 77511.86 -7547.23| Result = 243875909762.013336
add_sq -1680.92 -75057.43| Result = 220843748697.109222
add_sq 47581.87 98069.06| Result = 274203483688.718689
plus 70895.16 88789.41| Result = 232852109427.745636
minus 82503.75 -48973.48| Result = 318116309694.957275
minus 41619.38 -44491.13| Result = 219502216097.997009
sq_add -23824.61 80110.33| Result = 223987639834.266418
add_sq 88907.43 72059.85| Result = 256973062853.240723
divide -55861.77 -71070.13| Result = 220843748697.895233
add_sq 87924.79 85303.32| Result = 178319961762.699493
multiply -15633.23 31952.76| Result = 232352584581.530823
multiply -38186.95 49101.78| Result = 316241262477.186279
sq_add 31209.56 -72494.39| Result = 221206653286.125916
add_sq 37120.54 52707.99| Result = 228143706533.998108
plus -37161.06 -73251.12| Result = 256972952441.060730
multiply -70393.98 43328.93| Result = 217793652866.053833
sq_add 63243.48 81136.28| Result = 199165476860.357086
divide 18285.75 22238.31| Result = 232352584582.353088
sq_add -22230.51 60632.89| Result = 222681396075.790314
plus -87178.38 -55901.48| Result = 316241119397.326294
add_sq -42569.76 -20800.88| Result = 230388567609.230103
sq_add 26733.11 -82554.61| Result = 260088992303.310730
sq_add -64325.3 -20279.04| Result = 224951547212.889435
sq_add 92544.24 -23117.95| Result = 203985486603.521179
multiply 52432.54 -86704.69| Result = 218135248949.177704
sq_add 1077.62 36667.97| Result = 231813297173.678192
plus -71783.99 -50773.49| Result = 260088869745.830719
sq_add -37121.32 30173.45| Result = 224999820110.426331
minus 22574.98 62364.2| Result = 316241079608.106323
divide 17713.99 39344.75| Result = 232352584582.803314
multiply -90278.79 -59043.98| Result = 209315905674.705383
sq_add 37492.66 68485.08| Result = 229366530324.685303
add_sq -59517.72 -72096.28| Result = 240553529757.514984
minus -72752.16 53530.84| Result = 224999693827.426331
divide -20002.63 -68503.17| Result = 316241079608.398315
multiply -70381.77 -79773.19| Result = 237967162893.549622
add_sq -90433.95 74025.38| Result = 222973961871.452271
multiply -58902.36 -4229.67| Result = 274452621233.739899
minus 7610.38 30694.51| Result = 229366507240.555298
add_sq 11768.47 91136.43| Result = 248997875516.800781
divide 98781.18 92028.18| Result = 224999693828.499725
divide -76083.92 75293.84| Result = 316241079607.387817
sq_add 36770.49 59855.18| Result = 247303682996.498535
add_sq 43599.96 25447.1| Result = 225522473281.863861
minus -25414.49 82787.57| Result = 260088761543.770721
add_sq 80680.96 -26758.34| Result = 236591933306.632507
sq_add 47264.26 69989.28| Result = 262746268159.332397
sq_add 10081.94 42206.86| Result = 227733812433.939728
multiply 63612.71 52419.88| Result = 250638253621.173340
plus 78955.44 -69423.04| Result = 260088771076.170715
multiply -22039.0 -6828.16| Result = 262896753977.572388
add_sq -70831.21 45023.97| Result = 234778030618.564728
add_sq 78370.12 64604.56| Result = 246907558188.240509
divide -44455.7 -20617.19| Result = 250638253623.329590
sq_add 33763.4 -69997.71| Result = 226835398503.039948
multiply 67874.46 -90474.99| Result = 253947829986.415314
minus -7035.09 -27200.16| Result = 262896774142.642395
multiply 249.68 8283.34| Result = 234780098802.895935
sq_add 80464.16 87318.62| Result = 278789314887.857971
divide 53431.45 -7002.12| Result = 226835398495.409180
multiply 64383.57 75974.55| Result = 258839342744.558807
divide 33394.39 42310.81| Result = 262896774143.431671
sq_add -59087.5 6682.13| Result = 237526421607.732849
sq_add -99842.41 -79123.45| Result = 348269858652.927429
plus 39193.65 93486.19| Result = 278789447567.697998
sq_add 20117.07 -50052.94| Result = 227731554808.066071
multiply -36588.75 -60060.22| Result = 261036871119.083801
add_sq -26578.42 98907.62| Result = 273385903847.192474
divide -13124.2 -5514.59| Result = 237526421610.112762
sq_add -54282.29 -24442.3| Result = 284987008638.366089
multiply 96831.06 -33140.09| Result = 243698568145.045105
plus -73274.57 -51298.31| Result = 274452496660.859894
minus 54618.13 -21631.94| Result = 227731631058.136078
divide -94523.2 -92446.86| Result = 261036871120.106262
multiply -10366.27 70163.96| Result = 272658565293.563263
plus -379.08 -23672.77| Result = 237526397558.262756
plus -81216.94 24249.95| Result = 284986951671.376099
sq_add -39861.52 75840.24| Result = 244993036437.883514
plus -91854.15 -82612.36| Result = 274452322194.349884
multiply 2404.75 37428.27| Result = 227821636690.418579
sq_add 13976.66 -38923.33| Result = 273280901637.652161
minus -19609.95 90956.22| Result = 237526286992.092743
minus -46012.49 -42949.57| Result = 261036868057.186249
plus 33264.97 14279.09| Result = 284986999215.436096
add_sq 77873.87 84763.47| Result = 258242221913.101318
multiply 32999.35 -25675.1| Result = 273605060583.164886
sq_add -11770.23 83003.07| Result = 278355019132.117737
plus 12966.69 -90073.88| Result = 227821559583.228577
add_sq -32165.97 -75398.74| Result = 354989478272.555908
sq_add 93945.04 -75500.35| Result = 285327205804.632202
sq_add -68935.33 56235.62| Result = 258403504547.185425
plus 90917.27 61609.27| Result = 273605213109.704895
minus -8858.75 -66112.67| Result = 261036925311.106262
multiply -64992.99 -48680.29| Result = 240690164593.259857
add_sq 44230.15 67142.42| Result = 234285970315.707489
plus 17003.05 -19985.76| Result = 354989475289.845886
minus 73013.96 41199.6| Result = 278355050946.477722
add_sq 5708.26 91401.85| Result = 266790386962.835510
plus -45912.16 -17326.69| Result = 273605149870.854889
sq_add -6163.67 -60236.0| Result = 265445841487.215149
add_sq -44429.45 56806.72| Result = 245891144057.720764
plus -20331.65 95415.62| Result = 234286045399.677490
plus 82418.18 -27153.27| Result = 273605205135.764893
plus -18624.97 -97148.27| Result = 278354935173.237732
sq_add 15734.82 76209.99| Result = 293781053890.568298
sq_add -37669.83 -64084.58| Result = 277144346917.283630
plus -36754.4 23623.93| Result = 265445828356.745148
multiply 99160.9 -42217.69| Result = 350803131153.524902
multiply 15001.45 44623.19| Result = 234955457953.302979
add_sq 49735.21 -26912.98| Result = 281552834779.462219
sq_add 20112.06 45625.29| Result = 250212543242.743256
divide -45132.79 46084.96| Result = 293781053889.588989
multiply -35744.76 63014.32| Result = 274891915172.320435
add_sq -72367.64 -54715.81| Result = 273676723539.870850
multiply 43332.72 61733.82| Result = 276280299472.355286
sq_add 45738.11 15532.5| Result = 253966630892.515350
multiply -15161.6 -27520.29| Result = 294198305518.453003
add_sq 38856.97 -64586.46| Result = 240636732886.215485
divide 91815.19 -97470.37| Result = 350803131152.582947
sq_add -92996.54 -11756.15| Result = 284649849602.106934
plus 26548.06 2400.36| Result = 274891944120.740417
add_sq -47142.61 84269.41| Result = 303522064657.813232
add_sq 59961.97 33671.33| Result = 245365929196.465271
add_sq -37707.62 -74134.23| Result = 288470583443.219543
add_sq 79236.54 -39471.74| Result = 358639578682.382141
multiply -90832.19 -16733.0| Result = 277800194507.625305
add_sq 94906.39 -75723.16| Result = 299391069425.324646
plus 19949.77 -78754.07| Result = 303522005853.513245
sq_add -20093.14 -39331.26| Result = 278423203436.100403
add_sq -37759.76 62533.99| Result = 250702228577.042969
plus 64955.37 84733.28| Result = 288470733131.869568
minus 29377.07 73843.65| Result = 358639534215.802124
divide 87297.58 -68695.76| Result = 278423203434.829590
plus 5926.35 -29016.12| Result = 299391046335.554626
divide 34361.96 49978.07| Result = 277800194508.312866
multiply 94500.89 -8075.76| Result = 302758839346.086853
minus 36596.95 87905.59| Result = 250702177268.402954
minus -56286.57 62356.66| Result = 288470614488.639587
multiply 62694.33 65841.34| Result = 362767412913.404297
multiply 5518.4 -7482.77| Result = 278381910516.861572
minus 90657.12 -19248.38| Result = 299391156241.054626
divide 16196.33 48001.98| Result = 277800194508.650269
minus 86650.9 71441.09| Result = 302758854555.896851
sq_add 82917.3 -99218.36| Result = 250967901825.526550
multiply 73194.19 55746.15| Result = 292550908783.508118
minus -77380.44 -62160.41| Result = 362767397693.374268
divide 4592.92 54367.95| Result = 278381910516.946045
minus 48745.72 -14979.85| Result = 299391219966.624634
minus 31900.2 -98078.32| Result = 277800324487.170288
sq_add 72393.22 55349.97| Result = 319077177147.272949
multiply 83800.84 -43732.31| Result = 247303097512.386139
sq_add 63972.57 -20469.22| Result = 255859172353.737854
minus 79012.37 79094.69| Result = 362767397611.054260
add_sq -88093.93 -77479.73| Result = 313154869030.342407
minus -10880.14 15972.35| Result = 278381883664.456055
plus -20165.3 74250.89| Result = 292550962869.098145
divide 59244.07 -24551.09| Result = 319077177144.859863
minus -9590.6 -81692.57| Result = 277800396589.140259
plus 29413.98 63120.86| Result = 292551055403.938171
multiply 93796.53 45655.08| Result = 317437157111.214783
multiply 28913.0 31299.21| Result = 363672351669.784241
plus 10864.67 89709.33| Result = 278381984238.456055
minus 46740.45 15208.1| Result = 277800428121.490234
plus -35053.09 -85019.89| Result = 319077057071.879883
minus 11832.76 -44479.19| Result = 292551111715.888184
multiply -73079.14 31181.83| Result = 315158415791.188599
sq_add 54952.26 -92998.16| Result = 279829474745.266052
sq_add 63193.8 -50277.92| Result = 363839171625.958618
sq_add -65847.66 91669.77| Result = 278467209486.342346
sq_add -7498.99 28237.57| Result = 319507145772.296265
sq_add 75426.81 -90124.71| Result = 256075200618.147858
divide 99702.52 -51892.02| Result = 279829474743.344727
multiply -50946.93 -27148.15| Result = 320890260669.975769
minus 12196.92 -97325.48| Result = 278467319008.742371
plus -97723.08 88310.26| Result = 247303088099.566132
divide 76854.34 51388.95| Result = 363839171627.454163
plus -67339.25 17271.83| Result = 315158365723.768616
multiply 51283.58 5342.97| Result = 280103481372.777344
add_sq 38606.89 9511.73| Result = 322471225633.040771
minus 36990.83 56017.81| Result = 278467299981.762390
add_sq -90169.22 -19295.56| Result = 323661172594.890625
plus 37521.84 63637.06| Result = 247303189258.466125
add_sq 88977.06 -48610.96| Result = 302831054354.253357
minus 43793.57 65243.1| Result = 256075179168.617859
add_sq 72213.26 -13867.25| Result = 369246227169.844238
plus 3531.85 2284.53| Result = 322471231449.420776
plus 99189.81 40713.21| Result = 278467439884.782410
plus 49451.28 36015.12| Result = 323661258061.290649
add_sq 8139.79 -15989.17| Result = 247625098996.999115
add_sq 12511.89 75902.99| Result = 308748865636.565552
sq_add -52705.98 88021.12| Result = 370493386283.063843
minus 86020.75 57942.55| Result = 256075207246.817871
plus -7249.05 -39760.42| Result = 280103434363.307373
add_sq -40058.53 66033.54| Result = 284432554115.474915
multiply -11596.26 -43513.33| Result = 324165849949.436462
plus 48126.14 -34586.64| Result = 247625112536.499115
minus 95946.31 -76744.98| Result = 308749038327.855530
divide 50238.68 -45394.58| Result = 370493386281.957153
multiply 16427.57 -45680.21| Result = 255324792399.428162
add_sq 25304.73 26423.47| Result = 281441963490.521179
plus -37668.15 27670.15| Result = 284432544117.474915
divide -65922.5 -13714.18| Result = 324165849954.243347
minus 12097.53 28573.68| Result = 247625096060.349121
sq_add -97166.99 85600.11| Result = 308882831040.789917
plus -67814.96 3162.38| Result = 322471166796.840759
plus -70162.93 -51334.96| Result = 255324670901.538147
divide -13539.62 84476.5| Result = 281441963490.360901
divide 82312.74 43735.16| Result = 284432544119.356995
divide -98670.77 -21008.93| Result = 324165849958.939941
divide -88772.28 89230.58| Result = 370493386280.962280
multiply -20592.43 88092.68| Result = 307068788694.377502
sq_add -13820.26 36207.06| Result = 255825839715.778137
plus -43911.2 30778.9| Result = 247625082928.049133
multiply -49748.73 -45161.91| Result = 283688711157.235229
minus 38155.72 46722.17| Result = 284432535552.906982
plus 31880.92 58213.08| Result = 324165940052.939941
add_sq -92406.69 -64982.53| Result = 383255111842.919312
plus -20935.76 83583.57| Result = 307068851342.187500
divide -16063.47 -80763.83| Result = 255825839715.977020
add_sq -50251.13 -5398.61| Result = 325025487853.049744
multiply 62036.84 99680.01| Result = 290616368384.475403
add_sq 33310.82 -55680.23| Result = 328375838794.865234
divide 35844.65 45887.71| Result = 307068851342.968628
add_sq 50796.21 61224.35| Result = 389583787826.205933
divide 89551.05 -83091.42| Result = 283688711156.157471
sq_add 55842.24 -41965.75| Result = 256018396690.697113
minus 84962.38 -54861.38| Result = 325025627676.809753
sq_add -64324.59 59687.8| Result = 290637868205.979492
sq_add 83227.83 -44106.59| Result = 329906310214.002808
minus -60678.68 -57801.65| Result = 307068848465.938599
minus -70116.42 63736.26| Result = 389583653973.525940
sq_add -87204.92 -54461.21| Result = 303758003545.334351
plus -51648.17 9677.97| Result = 256018354720.497101
minus -35233.91 47821.52| Result = 325025544621.379761
multiply 42989.47 84673.32| Result = 333546371363.943237
plus -43526.29 12029.74| Result = 307068816969.388611
minus -54144.54 59387.01| Result = 389583540441.975952
plus -85254.65 -12547.79| Result = 256018256918.057098
add_sq -24040.33 -8109.7| Result = 291281572906.578369
sq_add -22326.22 -81584.92| Result = 314555528561.433960
sq_add -4467.25 -62800.15| Result = 338071274466.703247
multiply 13779.69 -18503.86| Result = 306813839514.785217
divide 17389.67 74991.74| Result = 247625082928.281006
divide -28145.62 -92997.89| Result = 325025544621.682434
sq_add -80173.11 82664.26| Result = 389589746270.298462
sq_add -94399.19 38858.38| Result = 317640310136.890076
multiply 24025.28 52950.97| Result = 339343436347.224854
sq_add 29722.25 -76209.0| Result = 308974857440.347717
minus -1269.53 -33883.08| Result = 247625115541.830994
sq_add -51810.74 16512.53| Result = 390835709899.502563
minus -51214.26 -17976.08| Result = 256018223679.877106
plus 52914.83 24523.68| Result = 325025622060.192444
minus -48785.83 -50587.51| Result = 317640311938.570068
multiply 89280.0 -81262.39| Result = 332088330168.024841
sq_add -19191.54 40234.84| Result = 309417677915.237732
minus 47000.37 -3299.09| Result = 390835760198.962585
plus 72070.88 -73969.3| Result = 247625113643.410980
add_sq -97103.56 75368.68| Result = 306391112196.194336
plus 70551.42 89628.63| Result = 256018383859.927094
sq_add 6316.23 92046.28| Result = 334700805433.692566
sq_add -64362.13 20027.56| Result = 319605866035.654968
multiply -85914.66 -41727.43| Result = 394420758160.086365
sq_add -32829.2 -5740.41| Result = 310905292730.789856
divide -86278.22 32415.17| Result = 247625113640.749329
multiply 78509.63 -60314.69| Result = 301655828200.729614
add_sq -17842.11 -85873.09| Result = 342393333909.092773
multiply -47528.24 55507.05| Result = 253380231465.835083
multiply -39386.45 72047.05| Result = 329250652635.552368
sq_add -51704.54 79846.1| Result = 395212705559.319946
plus 68701.58 -15054.09| Result = 310905346378.279846
add_sq 43301.02 72128.15| Result = 254702561996.212219
multiply -98995.54 -90202.49| Result = 310585472407.624207
add_sq -51694.4 -71576.04| Result = 350188774402.534363
divide -91818.73 17111.29| Result = 253380231460.469116
minus -51951.1 -70180.84| Result = 319605884265.394958
minus 16027.36 -85244.86| Result = 310905447650.499817
plus -19735.55 55194.71| Result = 395212741018.479919
multiply 88584.71 3763.68| Result = 255035966497.545013
multiply -12216.42 57020.12| Result = 309888890673.253784
divide -82849.0 -3306.34| Result = 350188774427.591980
divide -43906.9 -25368.35| Result = 329250652637.283142
minus 61829.83 -33150.05| Result = 319605979245.274963
sq_add -73386.54 16682.45| Result = 314120801473.227905
multiply -39659.49 58502.95| Result = 392892543857.984436
sq_add -49908.28 -98383.35| Result = 277026374025.601929
add_sq -98929.0 -75213.42| Result = 268824237049.565521
